meter_id,meter,model,feature_count,context_rows,regime_id,regime,normal_count,false_positive_count,rate
1,Chilledwater,tabpfn,137,5000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,10000,0,0–1,231482,145276,0.6275909141963522
1,Chilledwater,tabpfn,137,10000,1,1–10,147243,1118,0.007592890663732741
1,Chilledwater,tabpfn,137,10000,2,10–100,463579,2310,0.004982969461515729
1,Chilledwater,tabpfn,137,10000,3,100–1k,848372,1471,0.001733909181349691
1,Chilledwater,tabpfn,137,10000,4,1k–10k,281688,330,0.0011715089034676663
1,Chilledwater,tabpfn,137,10000,5,10k–100k,1851,7,0.0037817396002160996
1,Chilledwater,tabpfn,137,10000,6,100k–300k,0,0,
1,Chilledwater,tabpfn,137,10000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,20000,0,0–1,231482,135453,0.5851556492513457
1,Chilledwater,tabpfn,137,20000,1,1–10,147243,948,0.006438336627208084
1,Chilledwater,tabpfn,137,20000,2,10–100,463579,2754,0.005940735020352518
1,Chilledwater,tabpfn,137,20000,3,100–1k,848372,1654,0.0019496164418439082
1,Chilledwater,tabpfn,137,20000,4,1k–10k,281688,418,0.0014839112777257108
1,Chilledwater,tabpfn,137,20000,5,10k–100k,1851,9,0.004862236628849271
1,Chilledwater,tabpfn,137,20000,6,100k–300k,0,0,
1,Chilledwater,tabpfn,137,20000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,50000,0,0–1,231482,125948,0.5440941412291237
1,Chilledwater,tabpfn,137,50000,1,1–10,147243,1040,0.0070631541057978985
1,Chilledwater,tabpfn,137,50000,2,10–100,463579,2811,0.006063691409662646
1,Chilledwater,tabpfn,137,50000,3,100–1k,848372,1530,0.0018034541451155861
1,Chilledwater,tabpfn,137,50000,4,1k–10k,281688,328,0.0011644088495072562
1,Chilledwater,tabpfn,137,50000,5,10k–100k,1851,12,0.006482982171799027
1,Chilledwater,tabpfn,137,50000,6,100k–300k,0,0,
1,Chilledwater,tabpfn,137,50000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,100000,0,0–1,231482,124214,0.5366032780086573
1,Chilledwater,tabpfn,137,100000,1,1–10,147243,825,0.005602982824310833
1,Chilledwater,tabpfn,137,100000,2,10–100,463579,2341,0.005049840480263342
1,Chilledwater,tabpfn,137,100000,3,100–1k,848372,1346,0.001586568156421947
1,Chilledwater,tabpfn,137,100000,4,1k–10k,281688,397,0.0014093607111414046
1,Chilledwater,tabpfn,137,100000,5,10k–100k,1851,14,0.007563479200432199
1,Chilledwater,tabpfn,137,100000,6,100k–300k,0,0,
