meter_id,meter,model,feature_count,context_rows,regime_id,regime,anomaly_count,detected_count,detection_rate
1,Chilledwater,tabpfn,137,10000,0,0–1,126948,126487,0.9963685918643854
1,Chilledwater,tabpfn,137,10000,1,1–10,567,234,0.4126984126984127
1,Chilledwater,tabpfn,137,10000,2,10–100,2371,1408,0.593842260649515
1,Chilledwater,tabpfn,137,10000,3,100–1k,8544,7594,0.888810861423221
1,Chilledwater,tabpfn,137,10000,4,1k–10k,2549,2319,0.9097685366810514
1,Chilledwater,tabpfn,137,10000,5,10k–100k,159,159,1.0
1,Chilledwater,tabpfn,137,10000,6,100k–300k,1,1,1.0
1,Chilledwater,tabpfn,137,10000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,20000,0,0–1,126948,124973,0.9844424488767054
1,Chilledwater,tabpfn,137,20000,1,1–10,567,248,0.43738977072310403
1,Chilledwater,tabpfn,137,20000,2,10–100,2371,1526,0.6436102910164487
1,Chilledwater,tabpfn,137,20000,3,100–1k,8544,7706,0.9019194756554307
1,Chilledwater,tabpfn,137,20000,4,1k–10k,2549,2328,0.9132993330717929
1,Chilledwater,tabpfn,137,20000,5,10k–100k,159,159,1.0
1,Chilledwater,tabpfn,137,20000,6,100k–300k,1,1,1.0
1,Chilledwater,tabpfn,137,20000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,50000,0,0–1,126948,124573,0.9812915524466711
1,Chilledwater,tabpfn,137,50000,1,1–10,567,315,0.5555555555555556
1,Chilledwater,tabpfn,137,50000,2,10–100,2371,1622,0.6840995360607338
1,Chilledwater,tabpfn,137,50000,3,100–1k,8544,7807,0.9137406367041199
1,Chilledwater,tabpfn,137,50000,4,1k–10k,2549,2354,0.9234994115339349
1,Chilledwater,tabpfn,137,50000,5,10k–100k,159,159,1.0
1,Chilledwater,tabpfn,137,50000,6,100k–300k,1,1,1.0
1,Chilledwater,tabpfn,137,50000,7,≥300k,0,0,
1,Chilledwater,tabpfn,137,100000,0,0–1,126948,124205,0.9783927277310395
1,Chilledwater,tabpfn,137,100000,1,1–10,567,300,0.5291005291005291
1,Chilledwater,tabpfn,137,100000,2,10–100,2371,1594,0.6722901729228173
1,Chilledwater,tabpfn,137,100000,3,100–1k,8544,7844,0.9180711610486891
1,Chilledwater,tabpfn,137,100000,4,1k–10k,2549,2390,0.9376225970969008
1,Chilledwater,tabpfn,137,100000,5,10k–100k,159,159,1.0
1,Chilledwater,tabpfn,137,100000,6,100k–300k,1,1,1.0
1,Chilledwater,tabpfn,137,100000,7,≥300k,0,0,
1,Chilledwater,trees,137,5000,0,0–1,126948,126257,0.9945568264171156
1,Chilledwater,trees,137,5000,1,1–10,567,216,0.38095238095238093
1,Chilledwater,trees,137,5000,2,10–100,2371,1392,0.5870940531421341
1,Chilledwater,trees,137,5000,3,100–1k,8544,7304,0.8548689138576779
1,Chilledwater,trees,137,5000,4,1k–10k,2549,2072,0.8128677912907022
1,Chilledwater,trees,137,5000,5,10k–100k,159,145,0.9119496855345912
1,Chilledwater,trees,137,5000,6,100k–300k,1,1,1.0
1,Chilledwater,trees,137,5000,7,≥300k,0,0,
1,Chilledwater,trees,137,10000,0,0–1,126948,125079,0.9852774364306646
1,Chilledwater,trees,137,10000,1,1–10,567,262,0.4620811287477954
1,Chilledwater,trees,137,10000,2,10–100,2371,1490,0.6284268241248419
1,Chilledwater,trees,137,10000,3,100–1k,8544,7573,0.8863529962546817
1,Chilledwater,trees,137,10000,4,1k–10k,2549,2231,0.8752451941938015
1,Chilledwater,trees,137,10000,5,10k–100k,159,156,0.9811320754716981
1,Chilledwater,trees,137,10000,6,100k–300k,1,1,1.0
1,Chilledwater,trees,137,10000,7,≥300k,0,0,
1,Chilledwater,trees,137,20000,0,0–1,126948,124720,0.9824495068847087
1,Chilledwater,trees,137,20000,1,1–10,567,290,0.5114638447971781
1,Chilledwater,trees,137,20000,2,10–100,2371,1555,0.6558414171235766
1,Chilledwater,trees,137,20000,3,100–1k,8544,7727,0.90437734082397
1,Chilledwater,trees,137,20000,4,1k–10k,2549,2282,0.8952530404080031
1,Chilledwater,trees,137,20000,5,10k–100k,159,158,0.9937106918238994
1,Chilledwater,trees,137,20000,6,100k–300k,1,1,1.0
1,Chilledwater,trees,137,20000,7,≥300k,0,0,
1,Chilledwater,trees,137,50000,0,0–1,126948,125750,0.9905630651920472
1,Chilledwater,trees,137,50000,1,1–10,567,346,0.6102292768959435
1,Chilledwater,trees,137,50000,2,10–100,2371,1650,0.6959088991986504
1,Chilledwater,trees,137,50000,3,100–1k,8544,7837,0.9172518726591761
1,Chilledwater,trees,137,50000,4,1k–10k,2549,2330,0.9140839544919577
1,Chilledwater,trees,137,50000,5,10k–100k,159,158,0.9937106918238994
1,Chilledwater,trees,137,50000,6,100k–300k,1,1,1.0
1,Chilledwater,trees,137,50000,7,≥300k,0,0,
1,Chilledwater,trees,137,100000,0,0–1,126948,125409,0.9878769259854429
1,Chilledwater,trees,137,100000,1,1–10,567,305,0.5379188712522046
1,Chilledwater,trees,137,100000,2,10–100,2371,1640,0.6916912695065374
1,Chilledwater,trees,137,100000,3,100–1k,8544,7841,0.9177200374531835
1,Chilledwater,trees,137,100000,4,1k–10k,2549,2360,0.9258532757944292
1,Chilledwater,trees,137,100000,5,10k–100k,159,158,0.9937106918238994
1,Chilledwater,trees,137,100000,6,100k–300k,1,1,1.0
1,Chilledwater,trees,137,100000,7,≥300k,0,0,
2,Steam,tabpfn,137,5000,0,0–1,38400,37547,0.9777864583333333
2,Steam,tabpfn,137,5000,1,1–10,250,63,0.252
2,Steam,tabpfn,137,5000,2,10–100,1215,285,0.2345679012345679
2,Steam,tabpfn,137,5000,3,100–1k,4143,3140,0.7579048998310403
2,Steam,tabpfn,137,5000,4,1k–10k,1418,1154,0.8138222849083215
2,Steam,tabpfn,137,5000,5,10k–100k,197,46,0.233502538071066
2,Steam,tabpfn,137,5000,6,100k–300k,70,1,0.014285714285714285
2,Steam,tabpfn,137,5000,7,≥300k,3195,1,0.00031298904538341156
2,Steam,tabpfn,137,10000,0,0–1,38400,37542,0.97765625
2,Steam,tabpfn,137,10000,1,1–10,250,87,0.348
2,Steam,tabpfn,137,10000,2,10–100,1215,325,0.2674897119341564
2,Steam,tabpfn,137,10000,3,100–1k,4143,3208,0.7743181269611392
2,Steam,tabpfn,137,10000,4,1k–10k,1418,1184,0.8349788434414669
2,Steam,tabpfn,137,10000,5,10k–100k,197,56,0.28426395939086296
2,Steam,tabpfn,137,10000,6,100k–300k,70,5,0.07142857142857142
2,Steam,tabpfn,137,10000,7,≥300k,3195,40,0.012519561815336464
2,Steam,tabpfn,137,20000,0,0–1,38400,37637,0.9801302083333333
2,Steam,tabpfn,137,20000,1,1–10,250,110,0.44
2,Steam,tabpfn,137,20000,2,10–100,1215,420,0.345679012345679
2,Steam,tabpfn,137,20000,3,100–1k,4143,3377,0.8151098237991793
2,Steam,tabpfn,137,20000,4,1k–10k,1418,1214,0.8561354019746121
2,Steam,tabpfn,137,20000,5,10k–100k,197,50,0.25380710659898476
2,Steam,tabpfn,137,20000,6,100k–300k,70,7,0.1
2,Steam,tabpfn,137,20000,7,≥300k,3195,86,0.026917057902973395
2,Steam,tabpfn,137,50000,0,0–1,38400,37589,0.9788802083333333
2,Steam,tabpfn,137,50000,1,1–10,250,134,0.536
2,Steam,tabpfn,137,50000,2,10–100,1215,543,0.4469135802469136
2,Steam,tabpfn,137,50000,3,100–1k,4143,3473,0.8382814385710837
2,Steam,tabpfn,137,50000,4,1k–10k,1418,1233,0.8695345557122708
2,Steam,tabpfn,137,50000,5,10k–100k,197,65,0.3299492385786802
2,Steam,tabpfn,137,50000,6,100k–300k,70,13,0.18571428571428572
2,Steam,tabpfn,137,50000,7,≥300k,3195,130,0.0406885758998435
2,Steam,tabpfn,137,100000,0,0–1,38400,37420,0.9744791666666667
2,Steam,tabpfn,137,100000,1,1–10,250,126,0.504
2,Steam,tabpfn,137,100000,2,10–100,1215,558,0.45925925925925926
2,Steam,tabpfn,137,100000,3,100–1k,4143,3546,0.8559015206372194
2,Steam,tabpfn,137,100000,4,1k–10k,1418,1232,0.8688293370944993
2,Steam,tabpfn,137,100000,5,10k–100k,197,82,0.41624365482233505
2,Steam,tabpfn,137,100000,6,100k–300k,70,28,0.4
2,Steam,tabpfn,137,100000,7,≥300k,3195,192,0.06009389671361502
2,Steam,trees,137,5000,0,0–1,38400,37852,0.9857291666666667
2,Steam,trees,137,5000,1,1–10,250,32,0.128
2,Steam,trees,137,5000,2,10–100,1215,279,0.22962962962962963
2,Steam,trees,137,5000,3,100–1k,4143,3065,0.73980207579049
2,Steam,trees,137,5000,4,1k–10k,1418,1092,0.770098730606488
2,Steam,trees,137,5000,5,10k–100k,197,37,0.18781725888324874
2,Steam,trees,137,5000,6,100k–300k,70,0,0.0
2,Steam,trees,137,5000,7,≥300k,3195,2,0.0006259780907668231
2,Steam,trees,137,10000,0,0–1,38400,37647,0.980390625
2,Steam,trees,137,10000,1,1–10,250,43,0.172
2,Steam,trees,137,10000,2,10–100,1215,342,0.2814814814814815
2,Steam,trees,137,10000,3,100–1k,4143,3271,0.7895244991552015
2,Steam,trees,137,10000,4,1k–10k,1418,1170,0.8251057827926658
2,Steam,trees,137,10000,5,10k–100k,197,49,0.24873096446700507
2,Steam,trees,137,10000,6,100k–300k,70,2,0.02857142857142857
2,Steam,trees,137,10000,7,≥300k,3195,10,0.003129890453834116
2,Steam,trees,137,20000,0,0–1,38400,37544,0.9777083333333333
2,Steam,trees,137,20000,1,1–10,250,52,0.208
2,Steam,trees,137,20000,2,10–100,1215,405,0.3333333333333333
2,Steam,trees,137,20000,3,100–1k,4143,3414,0.8240405503258509
2,Steam,trees,137,20000,4,1k–10k,1418,1196,0.843441466854725
2,Steam,trees,137,20000,5,10k–100k,197,51,0.25888324873096447
2,Steam,trees,137,20000,6,100k–300k,70,1,0.014285714285714285
2,Steam,trees,137,20000,7,≥300k,3195,34,0.010641627543035994
2,Steam,trees,137,50000,0,0–1,38400,37343,0.9724739583333334
2,Steam,trees,137,50000,1,1–10,250,70,0.28
2,Steam,trees,137,50000,2,10–100,1215,510,0.41975308641975306
2,Steam,trees,137,50000,3,100–1k,4143,3465,0.836350470673425
2,Steam,trees,137,50000,4,1k–10k,1418,1213,0.8554301833568406
2,Steam,trees,137,50000,5,10k–100k,197,52,0.2639593908629442
2,Steam,trees,137,50000,6,100k–300k,70,2,0.02857142857142857
2,Steam,trees,137,50000,7,≥300k,3195,63,0.01971830985915493
2,Steam,trees,137,100000,0,0–1,38400,37274,0.9706770833333334
2,Steam,trees,137,100000,1,1–10,250,58,0.232
2,Steam,trees,137,100000,2,10–100,1215,505,0.4156378600823045
2,Steam,trees,137,100000,3,100–1k,4143,3528,0.8515568428674873
2,Steam,trees,137,100000,4,1k–10k,1418,1215,0.8568406205923836
2,Steam,trees,137,100000,5,10k–100k,197,51,0.25888324873096447
2,Steam,trees,137,100000,6,100k–300k,70,1,0.014285714285714285
2,Steam,trees,137,100000,7,≥300k,3195,72,0.022535211267605635
3,Hotwater,tabpfn,137,5000,0,0–1,86220,79766,0.9251449779633496
3,Hotwater,tabpfn,137,5000,1,1–10,526,108,0.20532319391634982
3,Hotwater,tabpfn,137,5000,2,10–100,1362,690,0.5066079295154186
3,Hotwater,tabpfn,137,5000,3,100–1k,2267,2002,0.8831054256726952
3,Hotwater,tabpfn,137,5000,4,1k–10k,309,282,0.912621359223301
3,Hotwater,tabpfn,137,5000,5,10k–100k,6,5,0.8333333333333334
3,Hotwater,tabpfn,137,5000,6,100k–300k,1,0,0.0
3,Hotwater,tabpfn,137,5000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,10000,0,0–1,86220,79271,0.9194038506147065
3,Hotwater,tabpfn,137,10000,1,1–10,526,124,0.23574144486692014
3,Hotwater,tabpfn,137,10000,2,10–100,1362,709,0.5205580029368576
3,Hotwater,tabpfn,137,10000,3,100–1k,2267,1968,0.8681076312307013
3,Hotwater,tabpfn,137,10000,4,1k–10k,309,274,0.8867313915857605
3,Hotwater,tabpfn,137,10000,5,10k–100k,6,5,0.8333333333333334
3,Hotwater,tabpfn,137,10000,6,100k–300k,1,0,0.0
3,Hotwater,tabpfn,137,10000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,20000,0,0–1,86220,78358,0.9088146601716539
3,Hotwater,tabpfn,137,20000,1,1–10,526,118,0.22433460076045628
3,Hotwater,tabpfn,137,20000,2,10–100,1362,733,0.5381791483113069
3,Hotwater,tabpfn,137,20000,3,100–1k,2267,2069,0.9126599029554477
3,Hotwater,tabpfn,137,20000,4,1k–10k,309,282,0.912621359223301
3,Hotwater,tabpfn,137,20000,5,10k–100k,6,6,1.0
3,Hotwater,tabpfn,137,20000,6,100k–300k,1,0,0.0
3,Hotwater,tabpfn,137,20000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,50000,0,0–1,86220,71805,0.8328114126652749
3,Hotwater,tabpfn,137,50000,1,1–10,526,166,0.3155893536121673
3,Hotwater,tabpfn,137,50000,2,10–100,1362,817,0.5998531571218796
3,Hotwater,tabpfn,137,50000,3,100–1k,2267,2135,0.9417732686369652
3,Hotwater,tabpfn,137,50000,4,1k–10k,309,296,0.9579288025889967
3,Hotwater,tabpfn,137,50000,5,10k–100k,6,6,1.0
3,Hotwater,tabpfn,137,50000,6,100k–300k,1,1,1.0
3,Hotwater,tabpfn,137,50000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,100000,0,0–1,86220,68475,0.7941892832289492
3,Hotwater,tabpfn,137,100000,1,1–10,526,163,0.30988593155893535
3,Hotwater,tabpfn,137,100000,2,10–100,1362,779,0.5719530102790015
3,Hotwater,tabpfn,137,100000,3,100–1k,2267,2140,0.9439788266431407
3,Hotwater,tabpfn,137,100000,4,1k–10k,309,292,0.9449838187702265
3,Hotwater,tabpfn,137,100000,5,10k–100k,6,5,0.8333333333333334
3,Hotwater,tabpfn,137,100000,6,100k–300k,1,1,1.0
3,Hotwater,tabpfn,137,100000,7,≥300k,0,0,
3,Hotwater,trees,137,5000,0,0–1,86220,77851,0.9029343539781953
3,Hotwater,trees,137,5000,1,1–10,526,131,0.24904942965779467
3,Hotwater,trees,137,5000,2,10–100,1362,734,0.5389133627019089
3,Hotwater,trees,137,5000,3,100–1k,2267,2005,0.8844287604764005
3,Hotwater,trees,137,5000,4,1k–10k,309,269,0.8705501618122977
3,Hotwater,trees,137,5000,5,10k–100k,6,5,0.8333333333333334
3,Hotwater,trees,137,5000,6,100k–300k,1,0,0.0
3,Hotwater,trees,137,5000,7,≥300k,0,0,
3,Hotwater,trees,137,10000,0,0–1,86220,75146,0.8715611227093482
3,Hotwater,trees,137,10000,1,1–10,526,124,0.23574144486692014
3,Hotwater,trees,137,10000,2,10–100,1362,718,0.527165932452276
3,Hotwater,trees,137,10000,3,100–1k,2267,2072,0.913983237759153
3,Hotwater,trees,137,10000,4,1k–10k,309,287,0.9288025889967637
3,Hotwater,trees,137,10000,5,10k–100k,6,5,0.8333333333333334
3,Hotwater,trees,137,10000,6,100k–300k,1,0,0.0
3,Hotwater,trees,137,10000,7,≥300k,0,0,
3,Hotwater,trees,137,20000,0,0–1,86220,73247,0.8495360705172814
3,Hotwater,trees,137,20000,1,1–10,526,87,0.16539923954372623
3,Hotwater,trees,137,20000,2,10–100,1362,734,0.5389133627019089
3,Hotwater,trees,137,20000,3,100–1k,2267,2111,0.9311865902073224
3,Hotwater,trees,137,20000,4,1k–10k,309,291,0.941747572815534
3,Hotwater,trees,137,20000,5,10k–100k,6,6,1.0
3,Hotwater,trees,137,20000,6,100k–300k,1,0,0.0
3,Hotwater,trees,137,20000,7,≥300k,0,0,
3,Hotwater,trees,137,50000,0,0–1,86220,72065,0.835826954302946
3,Hotwater,trees,137,50000,1,1–10,526,118,0.22433460076045628
3,Hotwater,trees,137,50000,2,10–100,1362,766,0.5624082232011748
3,Hotwater,trees,137,50000,3,100–1k,2267,2154,0.9501543890604323
3,Hotwater,trees,137,50000,4,1k–10k,309,299,0.9676375404530745
3,Hotwater,trees,137,50000,5,10k–100k,6,6,1.0
3,Hotwater,trees,137,50000,6,100k–300k,1,0,0.0
3,Hotwater,trees,137,50000,7,≥300k,0,0,
3,Hotwater,trees,137,100000,0,0–1,86220,70948,0.8228717234980283
3,Hotwater,trees,137,100000,1,1–10,526,110,0.20912547528517111
3,Hotwater,trees,137,100000,2,10–100,1362,778,0.5712187958883994
3,Hotwater,trees,137,100000,3,100–1k,2267,2171,0.9576532862814292
3,Hotwater,trees,137,100000,4,1k–10k,309,303,0.9805825242718447
3,Hotwater,trees,137,100000,5,10k–100k,6,5,0.8333333333333334
3,Hotwater,trees,137,100000,6,100k–300k,1,0,0.0
3,Hotwater,trees,137,100000,7,≥300k,0,0,
