meter_id,meter,model,feature_count,context_rows,threshold,holdout_max_f1,baseline_tn,baseline_fp,baseline_fn,baseline_tp,baseline_false_positive_rate,baseline_anomaly_recall,baseline_precision,baseline_f1,f1_tn,f1_fp,f1_fn,f1_tp,f1_false_positive_rate,f1_anomaly_recall,f1_precision,f1_f1,delta_fp,delta_false_positive_rate,delta_fn,delta_anomaly_recall
1,Chilledwater,tabpfn,137,5000,0.8903838396072388,0.6892548924273733,1817893,156322,3238,137901,0.07918185202726147,0.9770580774980693,0.4686955132671477,0.6335003973704642,1878117,96098,16388,124751,0.04867656258310265,0.8838875151446446,0.5648701148748693,0.6892548924273733,-60224,-0.03050528944415882,13150,-0.09317056235342469
1,Chilledwater,tabpfn,137,10000,0.9144227504730225,0.7410257852541302,1823703,150512,2937,138202,0.07623891014909724,0.9791907268720906,0.4786813247712269,0.6430198230557889,1925106,49109,29160,111979,0.02487520356192208,0.7933951636330142,0.695141785856178,0.7410257852541302,-101403,-0.051363706587175165,26223,-0.18579556323907642
1,Chilledwater,tabpfn,137,20000,0.9121648073196411,0.7657198944850009,1832979,141236,4198,136941,0.07154033375290939,0.970256272185576,0.4922800950473979,0.6531637237787254,1934274,39941,28801,112338,0.020231332453658796,0.7959387554113321,0.7377117002344381,0.7657198944850009,-101295,-0.05130900129925059,24603,-0.1743175167742439
1,Chilledwater,tabpfn,137,50000,0.9140154123306274,0.7464085265027146,1842546,131669,4308,136831,0.06669435699759145,0.969476898660186,0.5096126629422719,0.6680565082914469,1930752,43463,31224,109915,0.02201533267653219,0.7787712822111535,0.7166281996114175,0.7464085265027146,-88206,-0.04467902432105926,26916,-0.1907056164490325
1,Chilledwater,tabpfn,137,100000,0.9133889675140381,0.7395802947888606,1845078,129137,4646,136493,0.06541182191402659,0.9670820963730791,0.5138463275985393,0.6711081719600068,1931714,42501,33384,107755,0.021528050389648543,0.7634672202580435,0.7171427430518582,0.7395802947888606,-86636,-0.04388377152437804,28738,-0.2036148761150356
1,Chilledwater,trees,137,5000,0.8970602750778198,0.6543895897231883,1815616,158599,3752,137387,0.0803352218476711,0.9734162775703384,0.4641672241254654,0.6285936517014584,1853219,120996,13659,127480,0.06128815757149044,0.9032230637881804,0.51304753779037,0.6543895897231883,-37603,-0.019047064276180657,9907,-0.07019321378215804
1,Chilledwater,trees,137,10000,0.9465453624725342,0.6942402471303779,1823334,150881,4347,136792,0.0764258198828395,0.969200575319366,0.47551212661598413,0.6380045334552205,1911615,62600,32816,108323,0.0317088057784993,0.7674916217346021,0.6337532105099958,0.6942402471303779,-88281,-0.0447170141043402,28469,-0.20170895358476393
1,Chilledwater,trees,137,20000,0.8962291479110718,0.7046562517725521,1827599,146616,4406,136733,0.07426546754026284,0.9687825477012023,0.482560376073323,0.6442255140310209,1898404,75811,23120,118019,0.038400579470827645,0.8361898553907849,0.6088789145127174,0.7046562517725521,-70805,-0.03586488806943519,18714,-0.13259269231041737
1,Chilledwater,trees,137,50000,0.9207515120506287,0.7075289545565127,1835849,138366,3067,138072,0.07008659137935838,0.9782696490693572,0.49946823519197797,0.6613007900339339,1905500,68715,26260,114879,0.034806239442006066,0.813942283847838,0.625723062845191,0.7075289545565127,-69651,-0.035280351937352315,23193,-0.16432736522151925
1,Chilledwater,trees,137,100000,0.9200989603996277,0.6974283215324373,1840602,133613,3425,137714,0.06767905218023366,0.9757331425049065,0.5075573017060595,0.6677592819771812,1904622,69593,28308,112831,0.035250973171615047,0.7994317658478521,0.6185096259264132,0.6974283215324373,-64020,-0.03242807900861862,24883,-0.17630137665705437
