meter_id,meter,model,context_rows,regime_id,regime,anomaly_count,baseline_detected_count,f1_detected_count,threshold
1,Chilledwater,tabpfn,5000,2,10–100,2371,1393,1044,0.8903838396072388
1,Chilledwater,tabpfn,5000,3,100–1k,8544,7463,6093,0.8903838396072388
1,Chilledwater,tabpfn,5000,4,1k–10k,2549,2191,1570,0.8903838396072388
1,Chilledwater,tabpfn,5000,5,10k–100k,159,157,75,0.8903838396072388
1,Chilledwater,tabpfn,5000,6,100k–300k,1,1,0,0.8903838396072388
1,Chilledwater,tabpfn,5000,7,≥300k,0,0,0,0.8903838396072388
1,Chilledwater,tabpfn,10000,0,0–1,126948,126487,103250,0.9144227504730225
1,Chilledwater,tabpfn,10000,1,1–10,567,234,63,0.9144227504730225
1,Chilledwater,tabpfn,10000,2,10–100,2371,1408,1037,0.9144227504730225
1,Chilledwater,tabpfn,10000,3,100–1k,8544,7594,5836,0.9144227504730225
1,Chilledwater,tabpfn,10000,4,1k–10k,2549,2319,1695,0.9144227504730225
1,Chilledwater,tabpfn,10000,5,10k–100k,159,159,98,0.9144227504730225
1,Chilledwater,tabpfn,10000,6,100k–300k,1,1,0,0.9144227504730225
1,Chilledwater,tabpfn,10000,7,≥300k,0,0,0,0.9144227504730225
1,Chilledwater,tabpfn,20000,0,0–1,126948,124973,104097,0.9121648073196411
1,Chilledwater,tabpfn,20000,1,1–10,567,248,70,0.9121648073196411
1,Chilledwater,tabpfn,20000,2,10–100,2371,1526,1072,0.9121648073196411
1,Chilledwater,tabpfn,20000,3,100–1k,8544,7706,5171,0.9121648073196411
1,Chilledwater,tabpfn,20000,4,1k–10k,2549,2328,1829,0.9121648073196411
1,Chilledwater,tabpfn,20000,5,10k–100k,159,159,98,0.9121648073196411
1,Chilledwater,tabpfn,20000,6,100k–300k,1,1,1,0.9121648073196411
1,Chilledwater,tabpfn,20000,7,≥300k,0,0,0,0.9121648073196411
1,Chilledwater,tabpfn,50000,0,0–1,126948,124573,100685,0.9140154123306274
1,Chilledwater,tabpfn,50000,1,1–10,567,315,135,0.9140154123306274
1,Chilledwater,tabpfn,50000,2,10–100,2371,1622,1184,0.9140154123306274
1,Chilledwater,tabpfn,50000,3,100–1k,8544,7807,5721,0.9140154123306274
