meter_id,meter,model,context_rows,regime_id,regime,normal_count,baseline_false_positive_count,f1_false_positive_count,threshold
0,Electricity,trees,50000,6,100k–300k,0,0,0,0.8792746663093567
0,Electricity,trees,50000,7,≥300k,0,0,0,0.8792746663093567
0,Electricity,trees,100000,0,0–1,76825,11232,1493,0.9449846744537354
0,Electricity,trees,100000,1,1–10,621110,6400,559,0.9449846744537354
0,Electricity,trees,100000,2,10–100,2612678,10760,4612,0.9449846744537354
0,Electricity,trees,100000,3,100–1k,2213985,9278,2472,0.9449846744537354
0,Electricity,trees,100000,4,1k–10k,153309,3349,260,0.9449846744537354
0,Electricity,trees,100000,5,10k–100k,485,0,0,0.9449846744537354
0,Electricity,trees,100000,6,100k–300k,0,0,0,0.9449846744537354
0,Electricity,trees,100000,7,≥300k,0,0,0,0.9449846744537354
1,Chilledwater,tabpfn,5000,0,0–1,231482,152054,94860,0.8903838396072388
1,Chilledwater,tabpfn,5000,1,1–10,147243,793,6,0.8903838396072388
1,Chilledwater,tabpfn,5000,2,10–100,463579,2177,1031,0.8903838396072388
1,Chilledwater,tabpfn,5000,3,100–1k,848372,1030,176,0.8903838396072388
1,Chilledwater,tabpfn,5000,4,1k–10k,281688,266,25,0.8903838396072388
1,Chilledwater,tabpfn,5000,5,10k–100k,1851,2,0,0.8903838396072388
1,Chilledwater,tabpfn,5000,6,100k–300k,0,0,0,0.8903838396072388
1,Chilledwater,tabpfn,5000,7,≥300k,0,0,0,0.8903838396072388
1,Chilledwater,tabpfn,10000,0,0–1,231482,145276,47993,0.9144227504730225
1,Chilledwater,tabpfn,10000,1,1–10,147243,1118,4,0.9144227504730225
1,Chilledwater,tabpfn,10000,2,10–100,463579,2310,878,0.9144227504730225
1,Chilledwater,tabpfn,10000,3,100–1k,848372,1471,199,0.9144227504730225
1,Chilledwater,tabpfn,10000,4,1k–10k,281688,330,35,0.9144227504730225
1,Chilledwater,tabpfn,10000,5,10k–100k,1851,7,0,0.9144227504730225
1,Chilledwater,tabpfn,10000,6,100k–300k,0,0,0,0.9144227504730225
1,Chilledwater,tabpfn,10000,7,≥300k,0,0,0,0.9144227504730225
1,Chilledwater,tabpfn,20000,0,0–1,231482,135453,38837,0.9121648073196411
1,Chilledwater,tabpfn,20000,1,1–10,147243,948,7,0.9121648073196411
1,Chilledwater,tabpfn,20000,2,10–100,463579,2754,809,0.9121648073196411
1,Chilledwater,tabpfn,20000,3,100–1k,848372,1654,262,0.9121648073196411
1,Chilledwater,tabpfn,20000,4,1k–10k,281688,418,26,0.9121648073196411
1,Chilledwater,tabpfn,20000,5,10k–100k,1851,9,0,0.9121648073196411
1,Chilledwater,tabpfn,20000,6,100k–300k,0,0,0,0.9121648073196411
1,Chilledwater,tabpfn,20000,7,≥300k,0,0,0,0.9121648073196411
1,Chilledwater,tabpfn,50000,0,0–1,231482,125948,42332,0.9140154123306274
1,Chilledwater,tabpfn,50000,1,1–10,147243,1040,30,0.9140154123306274
1,Chilledwater,tabpfn,50000,2,10–100,463579,2811,887,0.9140154123306274
1,Chilledwater,tabpfn,50000,3,100–1k,848372,1530,181,0.9140154123306274
1,Chilledwater,tabpfn,50000,4,1k–10k,281688,328,32,0.9140154123306274
1,Chilledwater,tabpfn,50000,5,10k–100k,1851,12,1,0.9140154123306274
1,Chilledwater,tabpfn,50000,6,100k–300k,0,0,0,0.9140154123306274
1,Chilledwater,tabpfn,50000,7,≥300k,0,0,0,0.9140154123306274
1,Chilledwater,tabpfn,100000,0,0–1,231482,124214,41595,0.9133889675140381
1,Chilledwater,tabpfn,100000,1,1–10,147243,825,26,0.9133889675140381
1,Chilledwater,tabpfn,100000,2,10–100,463579,2341,687,0.9133889675140381
1,Chilledwater,tabpfn,100000,3,100–1k,848372,1346,157,0.9133889675140381
1,Chilledwater,tabpfn,100000,4,1k–10k,281688,397,35,0.9133889675140381
1,Chilledwater,tabpfn,100000,5,10k–100k,1851,14,1,0.9133889675140381
1,Chilledwater,tabpfn,100000,6,100k–300k,0,0,0,0.9133889675140381
1,Chilledwater,tabpfn,100000,7,≥300k,0,0,0,0.9133889675140381
1,Chilledwater,trees,5000,0,0–1,231482,154378,119395,0.8970602750778198
1,Chilledwater,trees,5000,1,1–10,147243,847,61,0.8970602750778198
1,Chilledwater,trees,5000,2,10–100,463579,2077,1204,0.8970602750778198
1,Chilledwater,trees,5000,3,100–1k,848372,966,305,0.8970602750778198
1,Chilledwater,trees,5000,4,1k–10k,281688,329,31,0.8970602750778198
1,Chilledwater,trees,5000,5,10k–100k,1851,2,0,0.8970602750778198
1,Chilledwater,trees,5000,6,100k–300k,0,0,0,0.8970602750778198
1,Chilledwater,trees,5000,7,≥300k,0,0,0,0.8970602750778198
1,Chilledwater,trees,10000,0,0–1,231482,145581,61384,0.9465453624725342
1,Chilledwater,trees,10000,1,1–10,147243,1022,4,0.9465453624725342
1,Chilledwater,trees,10000,2,10–100,463579,2431,973,0.9465453624725342
1,Chilledwater,trees,10000,3,100–1k,848372,1420,220,0.9465453624725342
1,Chilledwater,trees,10000,4,1k–10k,281688,423,19,0.9465453624725342
1,Chilledwater,trees,10000,5,10k–100k,1851,4,0,0.9465453624725342
1,Chilledwater,trees,10000,6,100k–300k,0,0,0,0.9465453624725342
1,Chilledwater,trees,10000,7,≥300k,0,0,0,0.9465453624725342
1,Chilledwater,trees,20000,0,0–1,231482,141302,74147,0.8962291479110718
1,Chilledwater,trees,20000,1,1–10,147243,871,23,0.8962291479110718
1,Chilledwater,trees,20000,2,10–100,463579,2522,1264,0.8962291479110718
