sampling_profile,building_seed,building_budget,features,model,grouping,group,group_label,buildings,rows,anomalies,anomaly_rate,roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,tn_0_5,fp_0_5,fn_0_5,tp_0_5,row_seed,support_id,building_draw_seed
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,10,site 10,8,87112,15212,0.17462576912480485,0.8815963062796848,0.48108743511681074,0.3902170409369292,0.9549697607152248,0.5540427154843631,49199,22701,685,14527,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,10,site 10,8,87112,15212,0.17462576912480485,0.892202037809986,0.49258974004731504,0.3895177752445587,0.965882198264528,0.555154629437213,48872,23028,519,14693,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,11,site 11,2,26160,194,0.007415902140672783,0.8645024302200102,0.024514669174395695,0.03418349273822175,0.9948453608247423,0.06609589041095891,20513,5453,1,193,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,11,site 11,2,26160,194,0.007415902140672783,0.8434966701102393,0.021120087249203622,0.034165338998052755,0.9948453608247423,0.06606195447544069,20510,5456,1,193,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,13,site 13,53,702174,37855,0.05391113883453389,0.8533247686237718,0.2117928104898705,0.24132497035511452,0.8171707832518822,0.3726112539824981,567069,97250,6921,30934,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,13,site 13,53,702174,37855,0.05391113883453389,0.8468938548315698,0.19681825196060063,0.24703812595592256,0.8234843481706512,0.3800612038380415,569305,95014,6682,31173,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,14,site 14,45,812410,66380,0.08170751221673786,0.9605230634362776,0.7237581359427901,0.7353157985539296,0.7062820126544139,0.7205065353199271,729154,16876,19497,46883,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,14,site 14,45,812410,66380,0.08170751221673786,0.959095649124836,0.7088857239593743,0.7521635743056342,0.7004820729135282,0.7254034742860709,730709,15321,19882,46498,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,15,site 15,45,482676,9311,0.019290372838094292,0.9856257663702698,0.5513358567933085,0.5194426249032335,0.9368488884115562,0.6683266932270916,465295,8070,588,8723,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,catboost,site,15,site 15,45,482676,9311,0.019290372838094292,0.9853965615710062,0.4965246664842306,0.5276391199852098,0.9195575126194824,0.6705301903046441,465700,7665,749,8562,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.961022347729604,0.527980173981656,0.47765907658744927,0.9183783362500797,0.6284527105323126,1832471,141744,11520,129619,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.9606589554557504,0.5161637437115094,0.48949029742439343,0.9152395865069187,0.6378463255299502,1839492,134723,11963,129176,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9471032126134769,0.6510686799684351,0.485231905729586,0.776591392570774,0.5972736783317995,1261444,40277,10922,37966,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9472635250373869,0.6354621199414665,0.4720436537599043,0.7750368188512519,0.5867323237015702,1259343,42378,10998,37890,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.9026411702938206,0.5319353264398118,0.5441806843787664,0.5725264910520338,0.5579938314723867,501938,43492,38768,51923,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.9055833884445204,0.5445549952259601,0.5358112161814702,0.6204033476309667,0.5750127746550843,496686,48744,34426,56265,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,overall,0,all,296,4102084,280718,0.06843302087426781,0.9498231475730493,0.5110430607095261,0.49325312738050564,0.7819519945283167,0.6049227063724011,3595853,225513,61210,219508,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,overall,0,all,296,4102084,280718,0.06843302087426781,0.9510069199348987,0.5118439456365076,0.4972015423798244,0.7955706438489872,0.6119546125875812,3595521,225845,57387,223331,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,0,site 0,13,93806,4045,0.043120909110291455,0.9977781279882524,0.9817896725099045,0.6358132866018799,0.9866501854140914,0.7732997481108312,87475,2286,54,3991,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,0,site 0,13,93806,4045,0.043120909110291455,0.9981681872982047,0.9875937924291132,0.699154035953472,0.980716934487021,0.8163391295400761,88054,1707,78,3967,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,1,site 1,7,61469,2933,0.047715108428638825,0.919931538075467,0.5333346318311193,0.5238817285822593,0.47118990794408455,0.4961407287740083,57280,1256,1551,1382,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,1,site 1,7,61469,2933,0.047715108428638825,0.8939607471282122,0.5088068999261386,0.3650869254584425,0.522673031026253,0.4298934380257992,55870,2666,1400,1533,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,2,site 2,50,675821,76276,0.11286420516675273,0.9573093242705922,0.69963143297013,0.6312975285171103,0.6965493733284388,0.6623201775162681,568515,31030,23146,53130,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,2,site 2,50,675821,76276,0.11286420516675273,0.9622270615650907,0.7174694977693045,0.6386368219399072,0.7473648329749856,0.6887361210114898,567289,32256,19270,57006,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,6,site 6,15,187447,28605,0.15260313581972504,0.969191728860755,0.8974246082252286,0.638804345136466,0.9024995630134592,0.7480946999333508,144245,14597,2789,25816,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,6,site 6,15,187447,28605,0.15260313581972504,0.9705953829347155,0.9033927213399936,0.6456126324205477,0.9033385771718231,0.753034431508546,144658,14184,2765,25840,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,7,site 7,8,139716,8439,0.06040109937301383,0.9023975406819026,0.49282002512422446,0.2210906366020641,0.7691669629102974,0.34345732578443305,108409,22868,1948,6491,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,7,site 7,8,139716,8439,0.06040109937301383,0.8941247022084338,0.3252015475523956,0.2180044497689543,0.7547102737291148,0.33829075264248154,108431,22846,2070,6369,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,9,site 9,50,833293,31468,0.03776342774990309,0.9926772583839354,0.9292436116441853,0.8367613550053167,0.8752383373585865,0.8555674634608514,796452,5373,3926,27542,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,9,site 9,50,833293,31468,0.03776342774990309,0.993067990064977,0.9356444052709045,0.8607887183327093,0.8767636964535401,0.8687027707808564,797363,4462,3878,27590,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,10,site 10,8,87112,15212,0.17462576912480485,0.8994276273178667,0.7023213068957328,0.41290151782562656,0.9227583486721009,0.5705169891074622,51941,19959,1175,14037,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,10,site 10,8,87112,15212,0.17462576912480485,0.8977527431494864,0.570136290228924,0.39290509694398196,0.9618064685774389,0.5579027645376549,49293,22607,581,14631,1,building_seed0,0.0
